Línea 1: Mejor: 62, Media Aptitud: 45.89, Std Aptitud: 4.13, Media Mejores: 61.40, Std Mejores: 1.62
Línea 39: Mejor: 62, Media Aptitud: 46.94, Std Aptitud: 4.66, Media Mejores: 60.15, Std Mejores: 1.38
Línea 40: Mejor: 63, Media Aptitud: 45.90, Std Aptitud: 4.49, Media Mejores: 60.37, Std Mejores: 2.14
Línea 41: Mejor: 62, Media Aptitud: 45.26, Std Aptitud: 4.81, Media Mejores: 59.72, Std Mejores: 2.65
Línea 42: Mejor: 62, Media Aptitud: 45.21, Std Aptitud: 4.47, Media Mejores: 61.01, Std Mejores: 2.24
Línea 43: Mejor: 63, Media Aptitud: 46.03, Std Aptitud: 4.64, Media Mejores: 61.65, Std Mejores: 2.20
Línea 44: Mejor: 63, Media Aptitud: 47.14, Std Aptitud: 4.89, Media Mejores: 59.63, Std Mejores: 2.86
Línea 45: Mejor: 61, Media Aptitud: 45.86, Std Aptitud: 4.23, Media Mejores: 60.16, Std Mejores: 1.82
Línea 46: Mejor: 61, Media Aptitud: 45.00, Std Aptitud: 4.50, Media Mejores: 60.25, Std Mejores: 1.68
Línea 47: Mejor: 63, Media Aptitud: 46.89, Std Aptitud: 4.79, Media Mejores: 61.92, Std Mejores: 1.74
Línea 48: Mejor: 62, Media Aptitud: 46.18, Std Aptitud: 4.77, Media Mejores: 61.05, Std Mejores: 2.00
Línea 49: Mejor: 60, Media Aptitud: 45.97, Std Aptitud: 4.55, Media Mejores: 59.50, Std Mejores: 1.95
Línea 50: Mejor: 62, Media Aptitud: 46.40, Std Aptitud: 3.89, Media Mejores: 61.17, Std Mejores: 1.90
Línea 51: Mejor: 64, Media Aptitud: 47.16, Std Aptitud: 4.99, Media Mejores: 62.96, Std Mejores: 1.77
Línea 52: Mejor: 61, Media Aptitud: 45.98, Std Aptitud: 4.50, Media Mejores: 60.28, Std Mejores: 1.78
Línea 53: Mejor: 60, Media Aptitud: 44.41, Std Aptitud: 4.23, Media Mejores: 59.35, Std Mejores: 1.12
Línea 54: Mejor: 64, Media Aptitud: 46.24, Std Aptitud: 4.65, Media Mejores: 61.11, Std Mejores: 2.94
Línea 55: Mejor: 61, Media Aptitud: 46.23, Std Aptitud: 4.42, Media Mejores: 58.85, Std Mejores: 1.75
Línea 56: Mejor: 63, Media Aptitud: 45.28, Std Aptitud: 4.47, Media Mejores: 61.35, Std Mejores: 1.81
Línea 57: Mejor: 61, Media Aptitud: 46.43, Std Aptitud: 4.20, Media Mejores: 59.46, Std Mejores: 1.62
Línea 58: Mejor: 61, Media Aptitud: 47.87, Std Aptitud: 4.84, Media Mejores: 60.25, Std Mejores: 1.75
Línea 59: Mejor: 60, Media Aptitud: 46.45, Std Aptitud: 3.96, Media Mejores: 58.66, Std Mejores: 1.63
Línea 60: Mejor: 61, Media Aptitud: 46.24, Std Aptitud: 4.43, Media Mejores: 60.41, Std Mejores: 1.75
Línea 61: Mejor: 63, Media Aptitud: 47.25, Std Aptitud: 4.43, Media Mejores: 61.20, Std Mejores: 2.10
Línea 62: Mejor: 61, Media Aptitud: 45.20, Std Aptitud: 4.92, Media Mejores: 59.91, Std Mejores: 2.05
Línea 63: Mejor: 62, Media Aptitud: 47.22, Std Aptitud: 4.64, Media Mejores: 60.86, Std Mejores: 1.56
Línea 64: Mejor: 63, Media Aptitud: 46.16, Std Aptitud: 4.56, Media Mejores: 61.20, Std Mejores: 2.91
Línea 65: Mejor: 62, Media Aptitud: 44.41, Std Aptitud: 4.40, Media Mejores: 61.24, Std Mejores: 1.62
Línea 66: Mejor: 63, Media Aptitud: 45.32, Std Aptitud: 4.86, Media Mejores: 61.66, Std Mejores: 2.49
Línea 67: Mejor: 66, Media Aptitud: 45.41, Std Aptitud: 4.70, Media Mejores: 59.95, Std Mejores: 2.65
Línea 68: Mejor: 63, Media Aptitud: 46.57, Std Aptitud: 4.38, Media Mejores: 61.74, Std Mejores: 2.27
Línea 69: Mejor: 61, Media Aptitud: 46.65, Std Aptitud: 4.96, Media Mejores: 60.02, Std Mejores: 2.26
Línea 70: Mejor: 60, Media Aptitud: 46.64, Std Aptitud: 4.40, Media Mejores: 58.54, Std Mejores: 1.64
Línea 71: Mejor: 62, Media Aptitud: 46.22, Std Aptitud: 4.95, Media Mejores: 60.01, Std Mejores: 2.10
Línea 72: Mejor: 61, Media Aptitud: 45.87, Std Aptitud: 4.76, Media Mejores: 60.52, Std Mejores: 1.78
Línea 73: Mejor: 61, Media Aptitud: 46.29, Std Aptitud: 5.02, Media Mejores: 59.40, Std Mejores: 1.16
Línea 74: Mejor: 61, Media Aptitud: 45.74, Std Aptitud: 5.13, Media Mejores: 59.40, Std Mejores: 2.07
Línea 75: Mejor: 63, Media Aptitud: 47.22, Std Aptitud: 4.44, Media Mejores: 62.38, Std Mejores: 2.21
Línea 76: Mejor: 63, Media Aptitud: 46.24, Std Aptitud: 4.92, Media Mejores: 59.20, Std Mejores: 1.79
Línea 77: Mejor: 63, Media Aptitud: 46.91, Std Aptitud: 4.87, Media Mejores: 60.22, Std Mejores: 2.96
Línea 78: Mejor: 61, Media Aptitud: 46.00, Std Aptitud: 4.67, Media Mejores: 60.02, Std Mejores: 2.09
Línea 79: Mejor: 61, Media Aptitud: 44.08, Std Aptitud: 5.21, Media Mejores: 60.20, Std Mejores: 1.91
Línea 80: Mejor: 63, Media Aptitud: 47.25, Std Aptitud: 4.78, Media Mejores: 61.44, Std Mejores: 2.58
Línea 81: Mejor: 61, Media Aptitud: 46.82, Std Aptitud: 4.22, Media Mejores: 59.99, Std Mejores: 1.93
Línea 82: Mejor: 60, Media Aptitud: 45.72, Std Aptitud: 4.67, Media Mejores: 59.19, Std Mejores: 1.88
